stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
0:1HAU,,HAUTEVUE,,45.9254104,6.152512,,0,1:HAU,
0:1HDU,,HENRI DUNANT,,45.9073967,6.1352797,,0,1:HDU,
0:1HDV,,HOTEL DE VILLE,,45.9000281,6.1280064,,0,1:HDV,
0:1HFI,,HOPITAL FIER,,45.9301742,6.1194901,,0,1:HFI,
0:1HOR,,HORIZONS,,45.9178014,6.0932241,,0,1:HOR,
0:1ILE,,ILES,,45.9121462,6.1130985,,0,1:ILE,
0:1ILS,,ILES,,45.9128721,6.1139012,,0,1:ILE,
0:1IMP,,IMPERIAL,,45.9054484,6.1437792,,0,1:IMP,
0:1IUT,,I.U.T,,45.9193611,6.1548516,,0,1:IUT,
0:1JAN,,JEANNE ANTIDE,,45.9046095,6.1314679,,0,1:JAN,
0:1JBA,,FLEURS,,45.9065345,6.1159442,,0,1:JBA,
0:1JCL,,JEAN CLERC,,45.8814918,6.0899607,,0,1:JCL,
0:1JOU,,JOUVENONS,,45.9528312,6.1571444,,0,1:JOU,
0:1LAC,,LACROIX,,45.9214872,6.0984928,,0,1:LAC,
0:1LACH,,LE LACHAT,,46.0105925,6.1738215,,0,1:LACH,
0:1LAN,,LANFONNET,,45.849132,6.1479842,,0,1:LAN,
0:1LAPI,,LA PIERRE,,45.7839068,6.1465456,,0,1:LAPI,
0:1LAR,,LOUIS ARMAND,,45.9188175,6.1322627,,0,1:LAR,
0:1LAU,,ST JORIOZ PLAGE,,45.8420635,6.1716031,,0,1:LAU,
0:1LBA,,LA BASILIQUE,,45.8923725,6.1265394,,0,1:LBA,
0:1LBE,,LYCEE BERTHOLLET,,45.9060441,6.1297808,,0,1:LBE,
0:1LBM,,LAC DE LA BALME,,45.9720498,6.0327285,,0,1:LBM,
0:1LBU,,LYCEE BAUDELAIRE,,45.8968842,6.0965415,,0,1:LBU,
0:1LCA,,LYCEE TOM MOREL,,45.8948285,6.1001946,,0,1:LCA,
0:1LCI,,LOVERCHY CITE,,45.8924289,6.1169922,,0,1:LCI,
0:1LCO,,LA COUR,,45.9206382,6.1419991,,0,1:LCO,
0:1LCP,,LA CHAPELLE,,45.8776384,6.0556958,,0,1:LCP,
0:1LCR,,LA CROIX RONDE,,45.8441897,6.0841058,,0,1:LCR,
0:1LCRE,,LE CRET,,45.8696647,6.1404228,,0,1:LCRE,
0:1LCT,,LACHAT,,45.9257004,6.0615907,,0,1:LCT,
0:1LCX,,LA CROIX,,45.8841144,6.038777,,0,1:LCX,
0:1LEBU,,LE BULOZ,,45.8266527,6.1757705,,0,1:LEBU,
0:1LECL,,LE CLEMONE,,45.976883,6.1643024,,0,1:LCLE1,
0:1LESCH,,MAIRIE LESCHAUX,,45.7712062,6.1245995,,0,1:LESCH,
0:1LET,,LETRAZ,,45.8733366,6.1412513,,0,1:LET,
0:1LEV,,LEVRAY,,45.8908773,6.0878284,,0,1:LEV,
0:1LFO,,LA FOIRE,,45.8798746,6.042956,,0,1:LFO,
0:1LGC,,LES GRANDS CHAMPS,,45.9445199,6.0528068,,0,1:LGC,
0:1LGF,,LYCEE GABRIEL FAURE,,45.8974096,6.120036,,0,1:LGF,
0:1LGO,,LES GOLIERES,,45.88101,6.0396123,,0,1:LGO,
0:1LHE,,L'HERBE,,45.8956997,6.0788705,,0,1:LHE,
0:1LHSM,,LES HALLES ST MARTIN,,45.9608823,6.1667035,,0,1:LHSM,
0:1LLA,,LE LAVOIR,,45.8957396,6.069451,,0,1:LLA,
0:1LLC,,LYCEE LACHENAL,,45.9384087,6.1335967,,0,1:LLC,
0:1LMA,,LE MARQUISAT,,45.9463424,6.1034054,,0,1:LMA,
0:1LOC,,LOVERCHY CITE,,45.8923459,6.1183684,,0,1:LCI,
0:1LOFE,,LOTIS. FERGY,,45.8226244,6.1891892,,0,1:LOFE,
0:1LON,,LONGIRET,,45.8845339,6.0973445,,0,1:LON,
0:1LOV,,LOVAGNY,,45.9042609,6.0335373,,0,1:LOV,
0:1LPLO,,LE PLOT,,46.0039124,6.1854502,,0,1:LPLO,
0:1LPO,,LYCEE DE POISY,,45.9259026,6.0704218,,0,1:LPO,
0:1LPRO,,LP ROSELIERES,,45.8524745,6.1444608,,0,1:LPRO,
0:1LSA,,LA SALLE,,45.9171649,6.1479599,,0,1:LSA,
0:1LSP,,LA SALLE PRINGY,,45.9360767,6.1230923,,0,1:LSP,
0:1LTE,,ARCADIUM,,45.91891,6.1181549,,0,1:LTE,
0:1LVA,,LEANDRE VAILLAT,,45.9211602,6.1280443,,0,1:LVA,
0:1LVD,,LA VARDE,,45.9297215,6.1244625,,0,1:LVD,
0:1LVI,,LOVERCHY VILLAGE,,45.8870072,6.1113043,,0,1:LVI,
0:1LVO,,L.P. GORDINI,,45.8855928,6.1096501,,0,1:LVO,
0:1LVR,,LA VARDE,,45.9306498,6.1247863,,0,1:LVD,
0:1LYB,,LYCEE LES BRESSIS,,45.893471,6.1004022,,0,1:LYB,
0:1MABLU,,MAIRIE BLUFFY,,45.8687767,6.2184091,,0,1:MABLU,
0:1MAC,,MACULLY,,45.9309742,6.0625167,,0,1:MAC,
0:1MACH,,MACHEVAZ,,45.8288223,6.151737,,0,1:MACH,
0:1MAG,,MAGIE,,45.9466147,6.1512587,,0,1:MAG,
0:1MAH,,MARCHE,,45.8884912,6.100264,,0,1:MAH,
0:1MAI,,MAIRIE ARGONAY,,45.9452035,6.1401068,,0,1:MAI,
0:1MAIJO,,MAIRIE ST JORIOZ,,45.8333244,6.1660469,,0,1:MAIJO,
0:1MAIMON,,MONTMIN MAIRIE,,45.8030623,6.2634534,,0,1:MAIMON,
0:1MAL,,MALAZ,,45.8784461,6.105402,,0,1:MAL,
0:1MAMEN,,MAIRIE MENTHON,,45.8606257,6.1950504,,0,1:MAMEN,
0:1MAN,,MANDALLAZ,,45.8997576,6.1165935,,0,1:MAN,
0:1MAQ,,MARQUISATS,,45.8934367,6.1359439,,0,1:MAQ,
0:1MAR,,LE MARTELET,,45.9659169,6.095153,,0,1:MAR,
0:1MARJ,,MARJOLAINE,,45.8922883,6.1090084,,0,1:MARJ,
0:1MAT,,MATHONEX,,45.8555512,6.0719603,,0,1:MAT,
0:1MAV,,MAVERIA,,45.9079691,6.1429032,,0,1:MAV,
0:1MAY,,MARNY,,45.9217966,6.0543235,,0,1:MAY,
0:1MBA,,MONT BARON,,45.9393805,6.0920596,,0,1:MBA,
0:1MBO,,BOULANGERIE MERCIER,,45.9629854,6.1649766,,0,1:MBO,
0:1MCH,,MARAICHERES,,45.9110293,6.0699027,,0,1:MCH,
0:1MCI,,CIMETIERE MEYTHET,,45.9145508,6.0974055,,0,1:MCI,
0:1MCL,,MACLAMOD,,45.8931138,6.0645942,,0,1:MCL,
0:1MCM,,MEYTHET COTE MERLE,,45.9249067,6.102288,,0,1:MCM,
0:1MCR,,MEYTHET COTE MERLE,,45.9249648,6.1024721,,0,1:MCM,
0:1MEC,,MECLAZ,,45.8355331,6.0661012,,0,1:MEC,
0:1MEG,,MERCIER GARE,,45.9666341,6.1579233,,0,1:MEG,
0:1MEN,,MENTHONNEX,,45.9515953,6.1546058,,0,1:MEN,
0:1MEP,,MAIRIE EPAGNY,,45.9384032,6.0905581,,0,1:MEP,
0:1MER,,MERCIER,,45.9651163,6.1609637,,0,1:MER,
0:1MERD,,MERCIER RD,,45.9632269,6.1653652,,0,1:MERC,
0:1MET,,METZ,,45.9350394,6.1106988,,0,1:MET,
0:1MFER,,MAIRIE DE FERRIERES,,45.9674228,6.0888535,,0,1:MFER,
0:1MGO,,MALAZ GOLEMME,,45.8820079,6.0997445,,0,1:MGO,
0:1MIL,,MILLEMOUX,,45.9016384,6.1019461,,0,1:MIL,
0:1MIR,,MIRACLE,,45.8850609,6.0624689,,0,1:MIR,
0:1MLE,,MARECHAL LECLERC,,45.913445,6.1209055,,0,1:MLE,
0:1MMT,,GRENETTE,,45.9391029,6.1058133,,0,1:MMT,
0:1MNT,,MONTS,,45.8878316,6.0736046,,0,1:MNT,
0:1MOD,,MONOD,,45.9140372,6.0673203,,0,1:MOD,
0:1MON,,MONNAIE,,45.9422404,6.0866657,,0,1:MON,
0:1MONT,,MONTPELLAZ,,45.8699933,6.1843822,,0,1:MONT,
0:1MOS,,MOSINGES,,45.9070107,6.1097746,,0,1:MOS,
0:1MRA,,MEYTHET CENTRE,,45.9144733,6.0920043,,0,1:MRA,
0:1MRI,,LE MARAIS,,45.960312,6.0406191,,0,1:MRI,
0:1MRN,,MEYTHET CENTRE,,45.9144435,6.0921059,,0,1:MRA,
0:1MRO,,M.J.C. ROMAINS,,45.9124046,6.1213759,,0,1:MRO,
0:1MSN,,MEYTHET S.N.R.,,45.9134317,6.0938437,,0,1:MSN,
0:1MTR,,MONTREMONT,,45.9104806,6.1381405,,0,1:MTR,
